scope,window,industry,members,median_pct,mean_pct
all,6m,Medical Distributors,8,-0.43,4.36
all,6m,Finance/Rental/Leasing,127,-0.66,2.17
all,6m,Life/Health Insurance,27,-0.75,9.68
all,6m,Food: Specialty/Candy,39,-0.8,0.79
all,6m,Oil & Gas Pipelines,32,-0.9,2.29
all,6m,Internet Software/Services,84,-1.23,-2.33
all,6m,Auto Parts: OEM,33,-1.79,-3.51
all,6m,Environmental Services,16,-1.83,-11.7
all,6m,Beverages: Non-Alcoholic,14,-2.15,-19.26
all,6m,Real Estate Development,52,-2.31,-9.76
all,6m,Miscellaneous Manufacturing,12,-2.49,0.36
all,6m,Publishing: Newspapers,7,-2.57,-3.29
all,6m,Pulp & Paper,5,-2.62,-9.03
all,6m,Investment Trusts/Mutual Funds,103,-2.88,-4.63
all,6m,Wholesale Distributors,72,-2.97,-2.15
all,6m,Miscellaneous Commercial Services,153,-3.05,6.42
all,6m,Alternative Power Generation,12,-3.07,-8.98
all,6m,Biotechnology,283,-3.16,12.24
all,6m,Pharmaceuticals: Major,310,-3.25,3.62
all,6m,Building Products,24,-3.32,-0.71
all,6m,Integrated Oil,42,-3.9,-12.05
all,6m,Internet Retail,28,-4.61,-5.4
all,6m,Aerospace & Defense,78,-4.76,-3.96
all,6m,Restaurants,49,-4.84,3.38
all,6m,Motor Vehicles,31,-4.9,-15.19
all,6m,Aluminum,5,-4.99,-2.97
all,6m,Cable/Satellite TV,8,-5.24,-6.77
all,6m,Food Distributors,11,-5.36,-13.51
all,6m,Other Transportation,13,-5.46,0.99
all,6m,Telecommunications Equipment,32,-5.67,-1.72
all,6m,Home Furnishings,18,-5.78,4.56
all,6m,Specialty Stores,67,-6.07,-3.13
all,6m,Other Consumer Services,35,-6.28,-3.49
all,6m,Recreational Products,24,-6.77,-4.1
all,6m,Contract Drilling,11,-7.78,-8.23
all,6m,Electrical Products,73,-7.8,-6.87
all,6m,Electronics/Appliance Stores,4,-8.42,-1.62
all,6m,Computer Communications,11,-8.93,4.1
all,6m,Construction Materials,16,-8.98,-5.91
all,6m,Gas Distributors,21,-9.34,-12.94
all,6m,Oilfield Services/Equipment,33,-9.69,-2.36
all,6m,Commercial Printing/Forms,11,-9.97,-16.41
all,6m,Specialty Telecommunications,8,-10.14,-4.64
all,6m,Electric Utilities,73,-10.46,-12.52
all,6m,Wireless Telecommunications,16,-10.65,-3.0
all,6m,Chemicals: Agricultural,17,-11.0,-20.44
all,6m,Home Improvement Chains,5,-11.21,-6.39
all,6m,Casinos/Gaming,14,-11.24,-1.67
all,6m,Major Telecommunications,15,-11.37,8.25
all,6m,Oil & Gas Production,39,-11.46,-10.22
all,6m,Food Retail,15,-11.59,-4.31
all,6m,Other Metals/Minerals,68,-11.6,-7.65
all,6m,Apparel/Footwear Retail,30,-12.08,-1.78
all,6m,Air Freight/Couriers,28,-12.92,-6.53
all,6m,Beverages: Alcoholic,10,-14.8,-16.07
all,6m,Chemicals: Specialty,56,-15.2,-12.26
all,6m,Food: Meat/Fish/Dairy,8,-15.94,-17.13
all,6m,Agricultural Commodities/Milling,31,-16.03,-15.85
all,6m,Consumer Sundries,4,-16.77,-18.86
all,6m,Food: Major Diversified,8,-17.49,-20.02
all,6m,Engineering & Construction,65,-19.11,-16.13
all,6m,Pharmaceuticals: Other,25,-20.05,-11.49
all,6m,Coal,10,-20.96,-24.07
all,6m,Advertising/Marketing Services,34,-27.58,-23.46
all,6m,Industrial Conglomerates,3,-30.65,-19.4
liquid,1m,Financial Conglomerates,4,25.92,23.65
liquid,1m,Computer Peripherals,6,12.78,11.1
liquid,1m,Electronic Components,5,12.37,10.07
liquid,1m,Oil Refining/Marketing,7,12.02,11.5
liquid,1m,Data Processing Services,16,8.99,6.48
liquid,1m,Information Technology Services,15,8.5,4.32
liquid,1m,Semiconductors,29,6.71,9.13
liquid,1m,Computer Processing Hardware,11,6.44,-5.8
liquid,1m,Medical Specialties,17,4.22,5.81
liquid,1m,Investment Banks/Brokers,6,2.76,-0.53
liquid,1m,Packaged Software,74,1.46,3.7
liquid,1m,Electronic Production Equipment,8,1.32,4.16
liquid,1m,Apparel/Footwear Retail,4,-0.09,-0.63
liquid,1m,Integrated Oil,3,-3.03,-5.64
liquid,1m,Medical/Nursing Services,8,-3.47,-3.27
liquid,1m,Miscellaneous Commercial Services,10,-3.63,-1.36
liquid,1m,Industrial Machinery,9,-4.48,-5.3
liquid,1m,Chemicals: Agricultural,3,-6.33,-6.81
liquid,1m,Aerospace & Defense,16,-6.96,-8.28
liquid,1m,Telecommunications Equipment,3,-7.22,-5.3
liquid,1m,Oilfield Services/Equipment,5,-7.65,-0.53
liquid,1m,Electrical Products,16,-8.12,-7.44
liquid,1m,Precious Metals,8,-8.88,-6.11
liquid,1m,Electronic Equipment/Instruments,5,-8.92,-10.84
liquid,1m,Pharmaceuticals: Major,36,-9.05,-11.2
liquid,1m,Specialty Stores,11,-9.54,-6.26
liquid,1m,Restaurants,7,-15.75,-13.33
liquid,1m,Coal,3,-15.79,-13.41
liquid,1m,Other Metals/Minerals,11,-16.15,-23.31
liquid,1m,Air Freight/Couriers,3,-16.45,-17.99
liquid,1m,Finance/Rental/Leasing,7,-17.04,-5.13
liquid,1m,Engineering & Construction,10,-17.45,-18.9
liquid,1m,Apparel/Footwear,3,-17.88,-19.58
liquid,1m,Investment Managers,6,-18.08,-17.49
liquid,1m,Internet Software/Services,13,-19.07,-11.76
